id,name,weight
0,OfeliasHeaven,3
1,lorn_cramer,2
2,SuspendedAccount,132
3,lupash7,1
4,yojudenz,3
5,WilliamNerbonne,1
6,saveusrepublic2,1
7,starchaser57,1
8,Ettan1945,1
9,ThePipeStore,1
10,bronwyn1140,1
11,movie1212,1
12,michaelaw631,2
13,Nappers824,1
14,kldreams61,1
15,ronwagn,1
16,ChasD3,1
17,Kurt_770A,1
18,nhssabine,1
19,RealMAGASteve,1
20,Billionaire128,1
21,tasteofaz,1
22,Stevenehumphrey,1
23,poooopers,2
24,fat2energy,1
25,cannoneerno4,1
26,Iridium24,1
27,CalRWinn,1
28,Ace__of__Hearts,1
29,sunbeltgirl,1
30,RuffusMD,1
31,DGHallow,1
32,A1arch,1
33,letgobestill,1
34,Melissa31920880,1
35,citigirl555,1
36,crosshairsonyou,2
37,patriots4trump,1
38,BillyBoysDaddy,2
39,kin2souls,3
40,Mmarty1230,1
41,kangenagicdave,1
42,soxfaninpa1,1
43,lumpy3148,2
44,TmottaDing,1
45,cwoolley06,1
46,patrickemry,1
47,HoylandEileen,1
48,nclawyer2,1
49,bestra6169,1
50,russosimon,1
51,BigBobDC68,1
52,NEPTUNE1X2X,1
53,Shannon091171,1
54,ASteveRobinson,1
55,lesliedalehicks,1
56,ArizonaSun3,2
57,byrdiemarquez,2
58,focusnewspro,1
59,snyder777,1
60,PJ_Phares,1
61,toppertaco,2
62,jeanmarie1023,1
63,GoodScienceFYou,1
64,155thMed,1
65,RDVarley,1
66,MichaelBendall7,1
67,twin0830us,1
68,rkaley1,1
69,PRheydt,1
70,borderfox116,1
71,RoyMcCampbell,1
72,royfmc,1
73,blaze0497,4
74,jboatman3,1
75,teri3622,2
76,peggy_podod12,1
77,marvelbrannock,1
78,jerrydr,1
79,Kittykatnip1970,1
80,BrettWSabio,1
81,garzagarza1972,1
82,mks8864,1
83,PattiPropst,1
84,TVOTP1,1
85,IRONRHINO333,1
86,ccc122436,1
87,ken_parrish,1
88,mitigirl,1
89,wbrock2,1
90,oscar23_fuentes,1
91,Janice36017731,1
92,DwayneTraut,1
93,zflip26,1
94,attentionmars,2
95,Bamatopher,1
96,ImRodriguez9,1
97,saber24R,1
98,durham5611,1
99,mcall715432,1
100,oathkeeper7777,1
101,dennis_neier,1
102,zefmar88,1
103,EnglishTrerry,1
104,migueldiablo65,1
105,lawbarrett55,1
106,InezLPN,1
107,MangusColorado,2
108,RiveraVinny,2
109,cynr46_rueth,1
110,lsmoore2405,1
111,Calle48,1
112,JimCurley4,1
113,crews_donnie,1
114,JOHNWIL94936475,2
115,mimi_gant,1
116,JosephLThomasJr,1
117,CostenRon,1
118,tice_stacy,1
119,obamolizer,4
120,OneMoreTime64,1
121,SimplifyReason,1
122,ElioCollazo,1
123,FactandMythCom,1
124,VictorMiranda30,1
125,Hoaxolizer,1
126,10jhez10,1
127,SW_FLA_REALTOR,1
128,WhiteHouse24x7,1
129,Nancy_Crouse,1
130,TripTrundle,1
131,President,1
132,cdfonyo,1
133,Obamaupdate200,1
134,EINObamaNews,1
135,NY212Mick,2
136,JoAnneKlem,1
137,Dano50,1
138,SusanSharay,1
139,JazzyjaceJace,1
140,natur_luvr,1
141,DudekLinda,2
142,Kimbiwa,1
143,realtj49er,1
144,mollymoor,1
145,vevgar,1
146,roderime,1
147,msmarcellaruble,1
148,dixielolo,1
149,solusnan1,1
150,AnastasiaYeager,1
151,melissacammaran,1
152,ictchicano,1
153,Sirdemby,1
154,bobcat_cobb,1
155,noTrumpette,1
156,renerabril,1
157,CamelotK,1
158,actividadnotice,1
159,beauticountry,1
160,claverackjac,1
161,NormanGabbard1,1
162,news_todaywordl,1
163,marg55077,1
164,SusanEn1983,1
165,wendydshaffer,1
166,bhsnitzer,1
167,BBY_Big_Woody,1
168,jane747,1
169,FlintMI1,1
170,LindaOsborne60,1
171,JohnKaster,1
172,BizzbuilderKen,1
173,CatchpoleRonald,1
174,VikkiMarshall4,1
175,ganmadebbie1,1
176,MatthewBParksSr,1
177,ARTISTstacy,1
178,jacobulls1,1
179,CraigRozniecki,1
180,REaPRagone,1
181,Suma4720,1
182,carryconcealed,1
183,danilo_lopez,1
184,SikorskiJohn,1
185,StatsInTheWild,1
186,CLBallard1,1
187,FeeltheBern2018,1
188,beeinchicago,2
189,snopes,2
190,abufiras2009,1
191,jcjhot32,1
192,stylnpa,1
193,skinnergj,1
194,klnassie,2
195,LkpinkLinda,1
196,alunthe,1
197,CaroleCasuco,1
198,Fisherjonathan1,1
199,liltxhurricane4,2
200,Milvet2009,1
201,PaulaDuvall2,1
202,MarraccoNancy,1
203,andrespascual6,1
204,Seb_Aguanno,1
205,247wagering,2
206,LairdMWilcox,1
207,plainjane52,1
208,cattinks,1
209,stefan58,1
210,Brainykid2010,2
211,vivian_vsb,1
212,njvikings1,2
213,annykat41,1
214,Herbalmike,1
215,say3738,1
216,Jagauress,1
217,TruePatriot51,1
218,maltoy2000,1
219,WPubEBwilkes,1
220,mpilotone,1
221,eva48w4,1
222,AvonCTStyle,1
223,JenniferEvette6,1
224,amronsomar,1
225,earl1943,2
226,sddubrinsky,1
227,lizmichael,1
228,WillysBaldSpot,1
229,cbprincess5,1
230,Trump4PrezXX,1
231,strangegarden7,1
232,TerryJMcMurray,2
233,FpoeNewz,1
234,Anzers,1
235,fourones1,1
236,baberu,1
237,JWiseLaw,1
238,gldbug,1
239,murfloneranger,1
240,worthacomment,1
241,marcrespo22,1
242,sheila06942158,2
243,johnmark19,1
244,JamesCa14972101,1
245,jlcollins283655,1
246,chp3871,1
247,WyattRCB1,1
248,cinders1313,3
249,SmithNSons,1
250,kylie_oneil75,1
251,Ch2Christo,1
252,bmarsh31,1
253,keldoc405,1
254,JohnSlusarick,1
255,GlobalReina,1
256,alvinator2u,1
257,Karek22,1
258,Donnalee222,1
259,SnowBlasting,1
260,muligan4me,1
261,a3auntie,1
262,SirJaxx,1
263,TeaPartyTrumper,1
264,james_suire,1
265,NobamaDotCom,1
266,campingusa04,1
267,JoeXpressauto,1
268,CovfefeAlee,1
269,thefreeguru,1
270,John_Frank1954,1
271,icedragonx77,1
272,cgpb,1
273,SilasLongshot,1
274,bubba649,1
275,zeefa64,1
276,NamVet6669,1
277,LyleKlich,2
278,Sanctus_Christ,6
279,JAM_INSURANCE,1
280,buckfynn,1
281,ChuckJackson10,1
282,Rabid_AU,1
283,S1776frdm,1
284,rustythimble54,1
285,mmazzonejr,1
286,dmcnally1952,1
287,4_trump2020,1
288,raptureready299,1
289,beth2_k3a,1
290,frank95054,1
291,Zeke311,1
292,SL1733,1
293,JerryWoods8491,1
294,kaci1951,1
295,fatcatboots,1
296,KumheWillie,1
297,KenFro,1
298,Jerry6342,1
299,expatworldtagum,1
300,CharlesShytles,1
301,jamestrumpster1,1
302,Texastweetybird,2
303,MikeHud99832954,1
304,EriqElikplim,1
305,PaPawGeorge,1
306,Briinthesprings,1
307,angelnmt2012,1
308,RosieBud521,1
309,Creekredman,2
310,sirish789,1
311,Orkidnut,1
312,goodinohio,2
313,BanzaiM4,1
314,YesImDeplorable,1
315,kevingunter27,1
316,HomunculusLoikm,1
317,ShermanGraves,1
318,tallguy62,1
319,SillemanPam,1
320,forsaken_man,1
321,aceaerialphoto,1
322,myaki1718,1
323,nop3472,1
324,richierigg1,1
325,treniatoday,1
326,ElwinSnyder2,1
327,henrywilburn1,1
328,RogerSJosephJr,1
329,juanita_lux,1
330,jadwolfer,1
331,minsalbooks,1
332,James_K_Bryson,1
333,search4rr,1
334,shortman5427,1
335,Bonnie_,1
336,susanhunley,1
337,timbit777,1
338,nathanson57,1
339,PrettyPoisond1,1
340,tinkerswings,1
341,robnash13f,1
342,lemonygelato,1
343,wufandmew,1
344,YDrgwyla,1
345,Hen2pa,1
346,VillaLaCollina,1
347,THESuper_Nana,1
348,craigdh,1
349,DeniseM04406851,1
350,ldyglfr1953,1
351,SkuterP,1
352,Opportunity4u,1
353,tom_ingram,1
354,Carol38553,1
355,orion_kp,1
356,gutntag2u,2
357,GuyGuy60,1
358,marquisdejolie,1
359,TheHandyman61,1
360,newspolice1,1
361,TrumpGirly,1
362,americantreesup,1
363,daneillesteele,1
364,JimHillTx,1
365,ellejac7900,1
366,concider8,1
367,Vixstress,1
368,Cortaman,1
369,HHSASAGH,1
370,Natasha_Tyson,1
371,karenbothma1,1
372,CocoKissack,1
373,davyhobson,1
374,akonacards,1
375,grantwjacobs,1
376,successdasilva,1
377,TodaysSkripture,1
378,jolenejacobs13,1
379,LeadStoriesCom,1
380,karinaleech14,1
381,Tequilatattoo,1
382,chocwrld,1
383,NaijaOlofofo,1
384,welshfurnishing,1
385,fionnmccumhaill,1
386,conorlynch90,1
387,MKambindji,1
388,juniormajahh,1
389,darylsturgis,1
390,stephenmcramer,1
391,CarterHarms,1
392,nellokie,1
393,Auxi13Sheila,3
394,coopah,5
395,Peacepox,2
396,darmagirl24,1
397,PHILMSMITHJR,1
398,Daity1,4
399,frenchleap,1
400,david_landis,1
401,Russell_Hord,1
402,EJLandwehr,1
403,txstarkeeper,1
404,ellienowels,1
405,ColleenPerron,1
406,scruffie63,1
407,diaz_mldiaz9,1
408,joyceheiman,1
409,415holgate,1
410,RudyGSanchez5,2
411,Jerusal53393006,1
412,Sweetygirl3125,1
413,chrisdanne2,4
414,urjkary0987,6
415,lsleblanc1,1
416,crewislife,2
417,PattiCucchiara,3
418,DavidleeDr,1
419,soberbrat2,1
420,beehappytoo,1
421,purplemoon333,2
422,mariaeke,1
423,mistyferguson,1
424,Jclar672Jmc,1
425,JoannaVincenti,1
426,DavidLeftwich68,1
427,AmaraaU,1
428,Palmtrees40,1
429,alphabetsoupmmm,1
430,arielquirozart,1
431,celest_doc,1
432,ZentekClothing,1
433,joyceow33809563,1
434,AMISTAD604,3
435,Rainonventura,1
436,pbathon12,1
437,mizwizmizwiz,1
438,marilynholnes11,1
439,jameskibwe,1
440,GaryLewisJones,2
441,PhoenixVee888,2
442,DianeArnal,2
443,RichGrzegorek,1
444,KweliYaSaleem,1
445,DaphneDi,1
446,MILLIONTIMBER,1
447,hemantmehta,1
448,sactatheist,1
449,AthiestHuman,1
450,Athelover,1
451,JRLCHARTS,1
452,IBRustyJim,1
453,SusanAGeorge,1
454,christinefjnsn,1
455,pinkjockalypse,1
456,mscgluk,15
457,JasonAHanrahan,2
458,EvanLHarris2,1
459,alp44,1
460,spennington33,1
461,MaryJoMcManus,1
462,rma1814,1
463,robertcampo2,1
464,hlesbrown,1
465,daffodil0127,1
466,AlanPDuddle,2
467,charlierichmond,1
468,pastorjustjudy,1
469,olemissliberal,1
470,jontlaw,1
471,PoliticallyLib,1
472,craftycarlisle,1
473,SecretSaint2016,1
474,It_IsraHumanism,1
475,AtheistsofFla,1
476,A1l1g1p1,1
477,charlesazorn,1
478,markstudner,1
479,oriole1j,1
480,benzionjohannon,4
481,Jefflight10,2
482,rmuse,1
483,debbie_ahmed,1
484,ldcl35,1
485,sue220154,1
486,LandSurfingPro,1
487,Michaelff53,1
488,passionjurnal,1
489,SallyDeal4,1
490,momros,1
491,SP0RT5,1
492,OOsal,3
493,xyz321abc,1
494,Thesilvernana,1
495,gritslady,3
496,UrbanUniqueJewe,1
497,NessaSuicide,1
498,ShelliTweetz,1
499,JoymcdMcdonald,2
500,iambatmandoug,1
501,doc5770,1
502,ReneeDeLeon2016,1
503,40AcresAnd,1
504,LARealEstateLA,1
505,kileyklan1,1
506,RobertoHiers,1
507,deeannsea,2
508,greggo34,1
509,MarilouGeorge,1
510,michaeldunn1974,1
511,pozdragon64,1
512,ZygmuntMarcia,1
513,JanRadovic,1
514,napier36,2
515,Mfoxjackson,1
516,Ghettonewz,1
517,EdwardsRie,1
518,Boodoggy3,1
519,ZiggysPreschool,1
520,lizlogan76,1
521,MomMouse3,1
522,stewart_fed,1
523,nathanielsells,1
524,REH530,1
525,Timesmithing,1
526,dougMmidgley,2
527,mickivoss,1
528,Brasilmagic,1
529,MarkHess4,1
530,Wcr46571122,1
531,DorianSnyder,1
532,CoreyFreeUU,1
533,slmbs9,1
534,aicwebmaster,1
535,grammaturtleQ,1
536,marilynrbush,1
537,3pines,1
538,BerntJohnson,1
539,NYrye,1
540,MaineMomof3,1
541,DRandall,1
542,jimcombs,1
543,kybreese54,1
544,studioclub,1
545,Mongo78,1
546,anuthaque4u,1
547,kindcutesteve,2
548,MikeDus9,1
549,alanbwilliams,1
550,bamer,1
551,mamarocks54,1
552,Ariana2211,1
553,1slclarke,1
554,PicturesByFozia,1
555,Lioness95834,1
556,Pina169,1
557,leftwingnobody1,1
558,leftwingnobody,1
559,MAlib4eva,1
560,microdac,1
561,ahzoov,2
562,debtwigg,1
563,Ruthanasia,1
564,jeffdrosenberg,1
565,JeriInSantaFe,1
566,fidoeinstein,1
567,Lynestel,1
568,PatrickGfroerer,1
569,GlennMPR,1
570,acresofbeauty,1
571,htremper71,1
572,justcallmebecks,1
573,Komishi,1
574,aulddawg75,1
575,ecarder9,1
576,mrclassicalmusi,1
577,untroublesome,1
578,rvilmi,2
579,Caz55407171,1
580,camedguz,1
581,matbo2,1
582,AliceRuthLynn,1
583,PeterETyrrell,1
584,TammyDignan1,1
585,KoLDBLooDeD714,1
586,ChickyChicker,1
587,Iraqolizer,2
588,marysmaier,1
589,lsabik88,1
590,ZaggyD5,1
591,HappilyH,2
592,SheloraFitz,1
593,MarkSchwebke,1
594,diddymcc,1
595,Biggub,1
596,OnlyEveryMonday,1
597,ACarlaSimpson,1
598,ArtPmac,1
599,nanciedance,1
600,jamiestopover,1
601,Kelisia,2
602,ValerieBline,1
603,JustJennyEssex,2
604,thelegendflames,1
605,Alyson93,1
606,1innerchild,1
607,ChrisKeelty,1
608,rdunbar83,1
609,EllaMarquesBook,1
610,ChrisdeB,1
611,greatful1921,1
612,diversityfandom,1
613,ddsl1984,1
614,nan_haze27,1
615,Whiteboii_ENT,1
616,DannyBraverman,1
617,destinygroove,3
618,tortysoft,1
619,Kupoberry,1
620,raywilton4,1
621,hhmhilliard,1
622,WheatEquustexas,1
623,Okavangomick,1
624,Janerthered,1
625,laurienpearl,1
626,AddingtonSub,1
627,fvllaz,1
628,jgiro,1
629,JRobertNOLA,1
630,Rachel_Gal,1
631,CBryanKing,1
632,AnonRizing2013,1
633,MajMonster,1
634,garethjohnrober,1
635,DrAyeshaAshfaq,1
636,Kasso_FGO,1
637,haylzmyumi,1
638,kevinpaulallert,1
639,SML_24seven,1
640,JungleBoyz132,1
641,angelaharkavy,1
642,JeffreeRando,1
643,ralphprettyboy,1
644,nobasicchick,1
645,anxiousmeatball,1
646,567matthew,1
647,bdcozzoinger,1
648,AlaskanNovelist,2
649,Lockjawsmiff,1
650,fengshuikaty,1
651,Weird_Wesley,1
652,Jkinke,1
653,508gloryFelix,1
654,havefaith00_15,2
655,Sly00,1
656,ThomasM73519782,2
657,joancarroll,1
658,painter87048,1
659,AnamjemWAK,1
660,BABYDOLL666,1
661,Noofer55,1
662,RobertWJones,1
663,HeiressMommy,1
664,YGoulet,1
665,JRTailand,1
666,meaws_com,1
667,cameo212,1
668,honestpatriot,1
669,LGund71,1
670,PoliticalAnt,1
671,mycarlisle,1
672,madlymad,1
673,wayne1sch,1
674,RogerCh25625256,1
675,DavidCourageous,1
676,Alayahu,1
677,kristinamillona,1
678,Light_Uzumaki,1
679,joanna626,1
680,rboblee,1
681,tseelow13,2
682,Kessadancer,1
683,robinboddy,1
684,LawlessActor,1
685,kitTeresa,1
686,NewsTalk2,1
687,diz29,1
688,diamondryan,1
689,mudskipper,1
690,larryinep,1
691,JudeReneMontars,2
692,paul1190,1
693,nbshulman,1
694,tmpwproject,1
695,ashleybouder,1
696,tplundgren,1
697,SoOvrTheRainbow,1
698,Cacaogurl333,1
699,VerarmrzElvira,1
700,Sojourners2013,1
701,Ike1986,1
702,klgillum,1
703,papablues050164,2
704,Doris19555,1
705,deborahkass,1
706,sassyladyfl,1
707,xns6,1
708,DonHarrisonUK,2
709,Glen_Pritchard,1
710,wbrentchandler,1
711,kellybob_0,1
712,ZachGlass,1
713,brandingcupid,1
714,AnnInVA00,1
715,brianoltman,1
716,JHasselroth,1
717,RobAlanHammond,1
718,Wanderer19,1
719,hailawho,1
720,KsLeeba,1
721,MogP,1
722,jhante,1
723,StCyrlyMe2,1
724,e1ais,1
725,eddieleecorley,1
726,pieterkeeve,1
727,kelliecaulder,1
728,bain_asad,1
729,CapeDodie,1
730,PereraSumi,1
731,jemnascar,1
732,MStewart102,1
733,standleejim,1
734,Marlene37563445,1
735,HughCallaway,1
736,Wildrider51,1
737,jason_b5,1
738,DavidKGather,1
739,HospitablyBobby,1
740,MikeHindBDA,1
741,peterreedsartis,1
742,hopbin,1
743,josepbaucells12,1
744,HelfrichRJ,1
745,dutch163,1
746,ronniey5,1
747,drdion62,1
748,MichaelPierce27,1
749,OjedaOpio,1
750,message1mil,1
751,ValkyrieTurner,1
752,EyeCandyGallery,1
753,S9elham,1
754,Qtalktv,1
755,dmspeech,1
756,GualtieriEdward,1
757,JaredMabie,1
758,JointOccupy,1
759,cyberbiota,1
760,AlufKwabenaBey,1
761,MtnMD,1
762,barbls23,1
763,ReisaMiller,1
764,clementsmichae2,1
765,adammusicrocks,1
766,ScoopSpokes,1
767,Minx970,1
768,_michael__allen,1
769,BaltOUTloud,1
770,weeze123go,1
771,ishtarmuz,1
772,Emptrix,1
773,rontredding,1
774,PairleeB,1
775,gwlarson2002,1
776,Mia4Jah,1
777,MediumTony1,1
778,JohnBadger41,1
779,rayt009,1
780,klassalle,1
781,Maryaclare,1
782,knute_scion,1
783,EdwardMKennedy2,1
784,robertfranek,1
785,briheller,6
786,PaulDeCristofo4,1
787,sperlaervin,1
788,suerb2,1
789,PassTheSalty,1
790,WhistlerHeidi,1
791,indig7,3
792,JamesMelville,1
793,Yusaku37545515,1
794,MerlinofCanada,1
795,drew_wwwwd,1
796,CPBuffy19,1
